episode,total_reward
0,0.7000000000000004
1,0.8000000000000005
2,3.8999999999999986
3,3.8999999999999986
4,3.8999999999999986
5,3.8999999999999986
6,4.299999999999997
7,3.8999999999999986
8,3.8999999999999986
9,4.099999999999998
10,3.8999999999999986
11,3.8999999999999986
12,3.8999999999999986
13,4.1999999999999975
14,3.8999999999999986
15,3.8999999999999986
16,3.8999999999999986
17,3.8999999999999986
18,3.8999999999999986
19,3.8999999999999986
20,3.8999999999999986
21,3.8999999999999986
22,3.8999999999999986
23,3.8999999999999986
24,3.8999999999999986
25,3.8999999999999986
26,3.8999999999999986
27,3.8999999999999986
28,3.8999999999999986
29,3.8999999999999986
30,3.8999999999999986
31,3.8999999999999986
32,3.8999999999999986
33,3.8999999999999986
34,3.8999999999999986
35,3.8999999999999986
36,3.8999999999999986
37,3.8999999999999986
38,3.8999999999999986
39,3.8999999999999986
40,3.8999999999999986
41,3.8999999999999986
42,3.8999999999999986
43,3.8999999999999986
44,3.8999999999999986
45,3.8999999999999986
46,3.8999999999999986
47,3.8999999999999986
48,3.8999999999999986
49,3.8999999999999986
50,3.8999999999999986
51,3.8999999999999986
52,3.8999999999999986
53,3.8999999999999986
54,3.8999999999999986
55,3.8999999999999986
56,3.8999999999999986
57,3.8999999999999986
58,3.8999999999999986
59,3.8999999999999986
60,3.8999999999999986
61,3.8999999999999986
62,3.8999999999999986
63,3.8999999999999986
64,3.8999999999999986
65,3.8999999999999986
66,3.8999999999999986
67,3.8999999999999986
68,3.8999999999999986
69,3.8999999999999986
70,3.8999999999999986
71,3.8999999999999986
72,3.8999999999999986
73,3.8999999999999986
74,3.8999999999999986
75,3.8999999999999986
76,3.8999999999999986
77,3.8999999999999986
78,3.8999999999999986
79,3.8999999999999986
80,3.8999999999999986
81,3.8999999999999986
82,3.8999999999999986
83,3.8999999999999986
84,3.8999999999999986
85,3.8999999999999986
86,4.4999999999999964
87,3.8999999999999986
88,3.8999999999999986
89,3.8999999999999986
90,3.8999999999999986
91,3.8999999999999986
92,3.8999999999999986
93,3.8999999999999986
94,3.8999999999999986
95,3.8999999999999986
96,3.8999999999999986
97,3.8999999999999986
98,4.4999999999999964
99,3.8999999999999986
100,3.8999999999999986
101,4.399999999999997
102,3.8999999999999986
103,3.8999999999999986
104,3.8999999999999986
105,3.8999999999999986
106,3.8999999999999986
107,3.8999999999999986
108,3.8999999999999986
109,3.8999999999999986
110,3.8999999999999986
111,3.8999999999999986
112,4.299999999999997
113,3.8999999999999986
114,3.8999999999999986
115,3.8999999999999986
116,4.399999999999997
117,3.9999999999999982
118,4.599999999999996
119,3.8999999999999986
120,3.9999999999999982
121,3.8999999999999986
122,3.8999999999999986
123,3.8999999999999986
124,3.8999999999999986
125,3.8999999999999986
126,3.8999999999999986
127,3.8999999999999986
128,4.999999999999995
129,3.8999999999999986
130,3.8999999999999986
131,3.8999999999999986
132,3.8999999999999986
133,3.8999999999999986
134,3.8999999999999986
135,3.8999999999999986
136,3.8999999999999986
137,3.8999999999999986
138,4.099999999999998
139,3.8999999999999986
140,3.8999999999999986
141,3.8999999999999986
142,3.8999999999999986
143,3.8999999999999986
144,3.8999999999999986
145,3.8999999999999986
146,3.8999999999999986
147,3.8999999999999986
148,3.8999999999999986
149,3.8999999999999986
150,3.8999999999999986
151,3.8999999999999986
152,3.8999999999999986
153,3.8999999999999986
154,3.8999999999999986
155,3.8999999999999986
156,3.8999999999999986
157,3.8999999999999986
158,4.299999999999997
159,3.8999999999999986
160,3.8999999999999986
161,3.8999999999999986
162,3.8999999999999986
163,3.8999999999999986
164,3.8999999999999986
165,3.8999999999999986
166,4.299999999999997
167,3.8999999999999986
168,3.8999999999999986
169,3.8999999999999986
170,3.8999999999999986
171,4.799999999999995
172,3.8999999999999986
173,3.8999999999999986
174,3.8999999999999986
175,3.8999999999999986
176,4.599999999999996
177,4.399999999999997
178,3.8999999999999986
179,3.8999999999999986
180,3.8999999999999986
181,3.8999999999999986
182,3.8999999999999986
183,3.8999999999999986
184,3.8999999999999986
185,3.8999999999999986
186,3.8999999999999986
187,6.5999999999999925
188,3.8999999999999986
189,3.8999999999999986
190,3.8999999999999986
191,3.8999999999999986
192,6.299999999999994
193,3.8999999999999986
194,3.8999999999999986
195,3.8999999999999986
196,3.8999999999999986
197,3.8999999999999986
198,3.8999999999999986
199,3.8999999999999986
200,4.4999999999999964
201,3.8999999999999986
202,3.8999999999999986
203,3.8999999999999986
204,3.8999999999999986
205,3.8999999999999986
206,3.8999999999999986
207,3.8999999999999986
208,3.8999999999999986
209,3.8999999999999986
210,3.8999999999999986
211,3.8999999999999986
212,3.8999999999999986
213,3.8999999999999986
214,3.9999999999999982
215,3.8999999999999986
216,3.8999999999999986
217,3.8999999999999986
218,3.8999999999999986
219,3.8999999999999986
220,3.8999999999999986
221,3.8999999999999986
222,3.8999999999999986
223,4.599999999999996
224,3.8999999999999986
225,3.8999999999999986
226,3.8999999999999986
227,3.8999999999999986
228,3.8999999999999986
229,3.8999999999999986
230,3.8999999999999986
231,3.8999999999999986
232,3.8999999999999986
233,3.8999999999999986
234,3.8999999999999986
235,3.8999999999999986
236,3.8999999999999986
237,4.799999999999995
238,3.8999999999999986
239,3.8999999999999986
240,3.8999999999999986
241,3.8999999999999986
242,3.8999999999999986
243,3.8999999999999986
244,3.8999999999999986
245,5.999999999999995
246,3.8999999999999986
247,3.8999999999999986
248,3.8999999999999986
249,3.8999999999999986
250,3.8999999999999986
251,3.8999999999999986
252,3.8999999999999986
253,3.8999999999999986
254,3.8999999999999986
255,3.8999999999999986
256,4.899999999999995
257,3.8999999999999986
258,3.8999999999999986
259,3.8999999999999986
260,3.8999999999999986
261,3.8999999999999986
262,4.899999999999995
263,3.8999999999999986
264,4.399999999999997
265,3.8999999999999986
266,4.799999999999995
267,3.8999999999999986
268,3.8999999999999986
269,4.999999999999995
